t_ms,vm_soma_mV,vm_far_mV
5.76,-76.84041805,-80.92432856
5.77,-76.82323038,-80.91884241
5.78,-76.80600866,-80.9133282
5.79,-76.78875309,-80.90778599
5.8,-76.77146385,-80.90221583
5.81,-76.75414111,-80.89661774
5.82,-76.73678505,-80.89099176
5.83,-76.71939584,-80.88533789
5.84,-76.70197363,-80.87965614
5.85,-76.68451857,-80.87394653
5.86,-76.66703083,-80.86820904
5.87,-76.64951055,-80.86244368
5.88,-76.63195788,-80.85665041
5.89,-76.61437295,-80.85082923
5.9,-76.5967559,-80.84498011
5.91,-76.57910686,-80.83910303
5.92,-76.56142597,-80.83319795
5.93,-76.54371336,-80.82726483
5.94,-76.52596914,-80.82130365
5.95,-76.50819345,-80.81531435
5.96,-76.4903864,-80.8092969
5.97,-76.47254812,-80.80325124
5.98,-76.45467872,-80.79717734
5.99,-76.43677832,-80.79107513
6,-76.41884702,-80.78494457
6.01,-76.40088496,-80.7787856
6.02,-76.38289222,-80.77259816
6.03,-76.36486893,-80.7663822
6.04,-76.3468152,-80.76013765
6.05,-76.32873113,-80.75386445
6.06,-76.31061683,-80.74756255
6.07,-76.29247241,-80.74123188
6.08,-76.27429796,-80.73487238
6.09,-76.2560936,-80.72848397
6.1,-76.23785944,-80.7220666
6.11,-76.21959556,-80.7156202
6.12,-76.20130209,-80.70914469
6.13,-76.18297911,-80.70264002
6.14,-76.16462673,-80.69610612
6.15,-76.14624505,-80.68954291
6.16,-76.12783418,-80.68295032
6.17,-76.10939422,-80.67632829
6.18,-76.09092526,-80.66967675
6.19,-76.07242741,-80.66299563
6.2,-76.05390077,-80.65628485
6.21,-76.03534543,-80.64954435
6.22,-76.01676151,-80.64277405
6.23,-75.99814909,-80.63597389
6.24,-75.97950829,-80.62914379
6.25,-75.96083919,-80.62228369
6.26,-75.94214191,-80.6153935
6.27,-75.92341654,-80.60847317
6.28,-75.90466318,-80.60152263
6.29,-75.88588193,-80.59454179
6.3,-75.86707289,-80.58753059
6.31,-75.84823617,-80.58048896
6.32,-75.82937187,-80.57341684
6.33,-75.81048008,-80.56631414
6.34,-75.79156091,-80.55918081
6.35,-75.77261446,-80.55201677
6.36,-75.75364083,-80.54482195
6.37,-75.73464012,-80.53759629
6.38,-75.71561245,-80.53033972
6.39,-75.6965579,-80.52305216
6.4,-75.67747658,-80.51573355
6.41,-75.65836859,-80.50838383
6.42,-75.63923405,-80.50100292
6.43,-75.62007304,-80.49359076
6.44,-75.60088568,-80.48614729
6.45,-75.58167207,-80.47867244
6.46,-75.56243231,-80.47116613
6.47,-75.54316651,-80.46362832
6.48,-75.52387478,-80.45605893
6.49,-75.50455721,-80.4484579
6.5,-75.48521392,-80.44082516
6.51,-75.46584501,-80.43316066
6.52,-75.44645058,-80.42546433
6.53,-75.42703075,-80.41773611
6.54,-75.40758562,-80.40997593
6.55,-75.38811529,-80.40218375
6.56,-75.36861989,-80.39435949
6.57,-75.3490995,-80.38650309
6.58,-75.32955424,-80.3786145
6.59,-75.30998423,-80.37069367
6.6,-75.29038956,-80.36274052
6.61,-75.27077035,-80.354755
6.62,-75.25112671,-80.34673707
6.63,-75.23145874,-80.33868665
6.64,-75.21176656,-80.3306037
6.65,-75.19205028,-80.32248816
6.66,-75.17231001,-80.31433997
6.67,-75.15254586,-80.30615908
6.68,-75.13275794,-80.29794545
6.69,-75.11294636,-80.28969901
6.7,-75.09311124,-80.28141971
6.71,-75.07325268,-80.27310751
6.72,-75.0533708,-80.26476235
6.73,-75.03346572,-80.25638418
