t_ms,vm_soma_mV,vm_far_mV
5.57,-77.16019545,-81.02306221
5.58,-77.143705,-81.01814521
5.59,-77.12717227,-81.01318291
5.6,-77.11060293,-81.00819361
5.61,-77.09400139,-81.00317775
5.62,-77.07735519,-80.99812268
5.63,-77.06066285,-80.99304269
5.64,-77.04394437,-80.98792966
5.65,-77.02718361,-80.9827956
5.66,-77.01038732,-80.97762705
5.67,-76.99355183,-80.97242761
5.68,-76.97668273,-80.96720416
5.69,-76.95977224,-80.96194287
5.7,-76.94283054,-80.95665206
5.71,-76.92585365,-80.95133957
5.72,-76.90883818,-80.94600456
5.73,-76.89179451,-80.94063515
5.74,-76.87471288,-80.93523102
5.75,-76.8575909,-80.92980124
5.76,-76.84043766,-80.9243449
5.77,-76.82325219,-80.91885878
5.78,-76.80602666,-80.91334357
5.79,-76.78876262,-80.90780202
5.8,-76.77146749,-80.90223271
5.81,-76.754147,-80.8966353
5.82,-76.73679375,-80.89101458
5.83,-76.71940181,-80.88535268
5.84,-76.70198717,-80.87967388
5.85,-76.68453318,-80.87396213
5.86,-76.66704048,-80.86822502
5.87,-76.64951888,-80.86245663
5.88,-76.63196655,-80.85666413
5.89,-76.61438104,-80.8508456
5.9,-76.59676709,-80.84499083
5.91,-76.57911405,-80.83911676
5.92,-76.56143858,-80.83321336
5.93,-76.54371928,-80.8272801
5.94,-76.52597787,-80.82132105
5.95,-76.50820463,-80.81533081
5.96,-76.49039716,-80.80930573
5.97,-76.47255771,-80.8032589
5.98,-76.4546891,-80.79718495
5.99,-76.43679099,-80.7910853
6,-76.41885736,-80.78494997
6.01,-76.40088683,-80.77878846
6.02,-76.38289538,-80.77259229
6.03,-76.36487322,-80.7663783
6.04,-76.34681683,-80.76013947
6.05,-76.32873161,-80.75386292
6.06,-76.31061819,-80.74755891
6.07,-76.29247627,-80.74123099
6.08,-76.27430512,-80.73487841
6.09,-76.25610634,-80.72849224
6.1,-76.23787251,-80.72207394
6.11,-76.21961052,-80.7156236
6.12,-76.20131449,-80.70915289
6.13,-76.18299144,-80.70264485
6.14,-76.16463857,-80.69611305
6.15,-76.14625903,-80.68954479
6.16,-76.12784597,-80.68294579
6.17,-76.10940576,-80.67632864
6.18,-76.09093766,-80.66968153
6.19,-76.07244307,-80.66300002
6.2,-76.05391493,-80.65628996
6.21,-76.03536035,-80.64955512
6.22,-76.01677862,-80.64278203
6.23,-75.99816247,-80.63598061
6.24,-75.97952644,-80.62914536
6.25,-75.9608518,-80.62228275
6.26,-75.94215087,-80.61539544
6.27,-75.92342271,-80.60847528
6.28,-75.90466241,-80.60152982
6.29,-75.88587658,-80.59455047
6.3,-75.86706367,-80.58753966
6.31,-75.84823362,-80.58049742
6.32,-75.82936956,-80.57342644
6.33,-75.81047993,-80.56632024
6.34,-75.79155717,-80.55918917
6.35,-75.77261768,-80.55202521
6.36,-75.75364512,-80.54483108
6.37,-75.7346409,-80.53760036
6.38,-75.71561309,-80.53034886
6.39,-75.69656509,-80.52306117
6.4,-75.67748584,-80.51574481
6.41,-75.65837611,-80.50839472
6.42,-75.63924097,-80.50101705
6.43,-75.6200819,-80.49360406
6.44,-75.60089824,-80.48616447
6.45,-75.58168317,-80.47869241
6.46,-75.5624435,-80.47118794
6.47,-75.54317284,-80.46365429
6.48,-75.52387991,-80.45608172
6.49,-75.50456803,-80.44847325
6.5,-75.48522538,-80.4408404
